item,category,iso_year,iso_week,days_to_avurudu,festival_season,avg_wholesale_price_rs,avg_retail_price_rs,lag1_units,lag4_units,rolling4_mean_units,weekend_share,target_units_sold
Red Onion (Sinnan),Grocery/Staple,2025,10,42,0,181.37,217.64,38,37,37.2,0.29,50
Red Onion (Sinnan),Grocery/Staple,2025,11,35,0,178.57,214.28,50,44,40.5,0.29,27
Red Onion (Sinnan),Grocery/Staple,2025,12,28,0,181.26,217.51,27,30,36.2,0.29,33
Red Onion (Sinnan),Grocery/Staple,2025,13,21,1,179.88,215.86,33,38,37,0.29,46
Red Onion (Sinnan),Grocery/Staple,2025,14,14,1,181.41,217.69,46,50,39,0.29,69
Red Onion (Sinnan),Grocery/Staple,2025,15,7,1,189.42,227.3,69,27,43.8,0.29,116
Red Onion (Sinnan),Grocery/Staple,2025,16,0,1,180.86,217.03,116,33,66,0.29,83
Red Onion (Sinnan),Grocery/Staple,2025,17,358,0,180.95,217.14,83,46,78.5,0.29,47
Red Onion (Sinnan),Grocery/Staple,2025,18,351,0,182.46,218.95,47,69,78.8,0.29,33
Red Onion (Sinnan),Grocery/Staple,2025,19,344,0,181.75,218.1,33,116,69.8,0.29,43
Red Onion (Sinnan),Grocery/Staple,2025,20,337,0,180.48,216.58,43,83,51.5,0.29,41
Red Onion (Sinnan),Grocery/Staple,2025,21,330,0,178.63,214.36,41,47,41,0.29,54
Red Onion (Sinnan),Grocery/Staple,2025,22,323,0,181.3,217.56,54,33,42.8,0.29,28
Red Onion (Sinnan),Grocery/Staple,2025,23,316,0,182.15,218.58,28,43,41.5,0.29,37
Red Onion (Sinnan),Grocery/Staple,2025,24,309,0,180.85,217.02,37,41,40,0.29,38
Red Onion (Sinnan),Grocery/Staple,2025,25,302,0,180.23,216.28,38,54,39.2,0.29,45
Red Onion (Sinnan),Grocery/Staple,2025,26,295,0,180.32,216.38,45,28,37,0.29,54
Red Onion (Sinnan),Grocery/Staple,2025,27,288,0,182.32,218.78,54,37,43.5,0.29,32
Red Onion (Sinnan),Grocery/Staple,2025,28,281,0,179.05,214.86,32,38,42.2,0.29,28
Red Onion (Sinnan),Grocery/Staple,2025,29,274,0,180.25,216.3,28,45,39.8,0.29,39
Red Onion (Sinnan),Grocery/Staple,2025,30,267,0,181.93,218.32,39,54,38.2,0.29,47
Red Onion (Sinnan),Grocery/Staple,2025,31,260,0,182.95,219.54,47,32,36.5,0.29,48
Red Onion (Sinnan),Grocery/Staple,2025,32,253,0,182.79,219.35,48,28,40.5,0.29,36
Red Onion (Sinnan),Grocery/Staple,2025,33,246,0,181.73,218.08,36,39,42.5,0.29,37
Red Onion (Sinnan),Grocery/Staple,2025,34,239,0,181.1,217.32,37,47,42,0.29,23
Red Onion (Sinnan),Grocery/Staple,2025,35,232,0,182.23,218.68,23,48,36,0.29,37
Red Onion (Sinnan),Grocery/Staple,2025,36,225,0,180.24,216.29,37,36,33.2,0.29,41
Red Onion (Sinnan),Grocery/Staple,2025,37,218,0,179.86,215.83,41,37,34.5,0.29,42
Red Onion (Sinnan),Grocery/Staple,2025,38,211,0,180.36,216.43,42,23,35.8,0.29,52
Red Onion (Sinnan),Grocery/Staple,2025,39,204,0,179.25,215.1,52,37,43,0.29,44
Red Onion (Sinnan),Grocery/Staple,2025,40,197,0,183.01,219.61,44,41,44.8,0.29,39
Red Onion (Sinnan),Grocery/Staple,2025,41,190,0,183.42,220.1,39,42,44.2,0.29,37
Red Onion (Sinnan),Grocery/Staple,2025,42,183,0,183.33,220.0,37,52,43,0.29,33
Red Onion (Sinnan),Grocery/Staple,2025,43,176,0,180.93,217.12,33,44,38.2,0.29,27
Red Onion (Sinnan),Grocery/Staple,2025,44,169,0,181.12,217.34,27,39,34,0.29,53
Red Onion (Sinnan),Grocery/Staple,2025,45,162,0,182.35,218.82,53,37,37.5,0.29,42
Red Onion (Sinnan),Grocery/Staple,2025,46,155,0,180.49,216.59,42,33,38.8,0.29,38
Red Onion (Sinnan),Grocery/Staple,2025,47,148,0,179.86,215.83,38,27,40,0.29,36
Red Onion (Sinnan),Grocery/Staple,2025,48,141,0,181.44,217.73,36,53,42.2,0.29,26
Red Onion (Sinnan),Grocery/Staple,2025,49,134,0,184.33,221.2,26,42,35.5,0.29,57
Red Onion (Sinnan),Grocery/Staple,2025,50,127,0,183.64,220.37,57,38,39.2,0.29,28
Red Onion (Sinnan),Grocery/Staple,2025,51,120,0,182.04,218.45,28,36,36.8,0.29,34
Red Onion (Sinnan),Grocery/Staple,2025,52,113,0,182.25,218.7,34,26,36.2,0.29,34
Red Onion (Sinnan),Grocery/Staple,2026,1,106,0,178.92,214.7,34,57,38.2,0.29,42
Red Onion (Sinnan),Grocery/Staple,2026,2,99,0,182.24,218.69,42,28,34.5,0.29,42
Red Onion (Sinnan),Grocery/Staple,2026,3,92,0,181.46,217.75,42,34,38,0.29,46
Red Onion (Sinnan),Grocery/Staple,2026,4,85,0,181.08,217.3,46,34,41,0.29,25
Red Onion (Sinnan),Grocery/Staple,2026,5,78,0,181.22,217.46,25,42,38.8,0.29,53
Red Onion (Sinnan),Grocery/Staple,2026,6,71,0,183.87,220.64,53,42,41.5,0.29,28
Red Onion (Sinnan),Grocery/Staple,2026,7,64,0,181.72,218.06,28,46,38,0.29,32
Red Onion (Sinnan),Grocery/Staple,2026,8,57,0,182.36,218.83,32,25,34.5,0.29,46
Red Onion (Sinnan),Grocery/Staple,2026,9,50,0,181.19,217.43,46,53,39.8,0.29,39
Red Onion (Sinnan),Grocery/Staple,2026,10,43,0,182.21,218.65,39,28,36.2,0.29,35
Red Onion (Sinnan),Grocery/Staple,2026,11,36,0,184.39,221.27,35,32,38,0.29,34
Red Onion (Sinnan),Grocery/Staple,2026,12,29,0,182.33,218.8,34,46,38.5,0.29,26
Red Onion (Sinnan),Grocery/Staple,2026,13,22,0,183.64,220.37,26,39,33.5,0.29,52
Red Onion (Sinnan),Grocery/Staple,2026,14,15,1,181.48,217.78,52,35,36.8,0.29,58
Red Onion (Sinnan),Grocery/Staple,2026,15,8,1,187.22,224.66,58,34,42.5,0.29,60
Red Onion (Sinnan),Grocery/Staple,2026,16,1,1,182.18,218.62,60,26,49,0.29,97
Red Onion (Sinnan),Grocery/Staple,2026,17,359,0,182.97,219.56,97,52,66.8,0.29,41
Red Onion (Sinnan),Grocery/Staple,2026,18,352,0,183.48,220.18,41,58,64,0.29,39
Red Onion (Sinnan),Grocery/Staple,2026,19,345,0,180.24,216.29,39,60,59.2,0.29,31
Red Onion (Sinnan),Grocery/Staple,2026,20,338,0,184.01,220.81,31,97,52,0.29,29
Red Onion (Sinnan),Grocery/Staple,2026,21,331,0,183.37,220.04,29,41,35,0.29,51
Red Onion (Sinnan),Grocery/Staple,2026,22,324,0,182.92,219.5,51,39,37.5,0.29,37
Red Onion (Sinnan),Grocery/Staple,2026,23,317,0,184.22,221.06,37,31,37,0.29,42
Red Onion (Sinnan),Grocery/Staple,2026,24,310,0,184.16,220.99,42,29,39.8,0.0,7
Potatoes,Grocery/Staple,2022,24,305,0,106.09,127.31,49,49,49,0.29,49
Potatoes,Grocery/Staple,2022,25,298,0,107.57,129.08,49,41,49,0.29,41
Potatoes,Grocery/Staple,2022,26,291,0,108.26,129.91,41,52,45,0.29,52
Potatoes,Grocery/Staple,2022,27,284,0,111.55,133.86,52,62,47.3,0.29,62
Potatoes,Grocery/Staple,2022,28,277,0,114.14,136.97,62,49,51,0.29,58
Potatoes,Grocery/Staple,2022,29,270,0,118.63,142.36,58,41,53.2,0.29,62
Potatoes,Grocery/Staple,2022,30,263,0,120.43,144.52,62,52,58.5,0.29,61
Potatoes,Grocery/Staple,2022,31,256,0,123.12,147.74,61,62,60.8,0.29,53
Potatoes,Grocery/Staple,2022,32,249,0,125.91,151.09,53,58,58.5,0.29,69
Potatoes,Grocery/Staple,2022,33,242,0,128.7,154.44,69,62,61.2,0.29,51
Potatoes,Grocery/Staple,2022,34,235,0,132.34,158.81,51,61,58.5,0.29,65
Potatoes,Grocery/Staple,2022,35,228,0,134.27,161.12,65,53,59.5,0.29,55
Potatoes,Grocery/Staple,2022,36,221,0,136.86,164.23,55,69,60,0.29,56
Potatoes,Grocery/Staple,2022,37,214,0,138.86,166.63,56,51,56.8,0.29,64
Potatoes,Grocery/Staple,2022,38,207,0,140.91,169.09,64,65,60,0.29,69
Potatoes,Grocery/Staple,2022,39,200,0,144.16,172.99,69,55,61,0.29,79
Potatoes,Grocery/Staple,2022,40,193,0,145.88,175.06,79,56,67,0.29,54
Potatoes,Grocery/Staple,2022,41,186,0,146.93,176.32,54,64,66.5,0.29,51
Potatoes,Grocery/Staple,2022,42,179,0,151.18,181.42,51,69,63.2,0.29,53
Potatoes,Grocery/Staple,2022,43,172,0,153.49,184.19,53,79,59.2,0.29,77
Potatoes,Grocery/Staple,2022,44,165,0,155.2,186.24,77,54,58.8,0.29,51
Potatoes,Grocery/Staple,2022,45,158,0,158.94,190.73,51,51,58,0.29,76
Potatoes,Grocery/Staple,2022,46,151,0,161.67,194.0,76,53,64.2,0.29,44
Potatoes,Grocery/Staple,2022,47,144,0,163.2,195.84,44,77,62,0.29,72
Potatoes,Grocery/Staple,2022,48,137,0,164.85,197.82,72,51,60.8,0.29,48
Potatoes,Grocery/Staple,2022,49,130,0,166.75,200.1,48,76,60,0.29,52
Potatoes,Grocery/Staple,2022,50,123,0,168.91,202.69,52,44,54,0.29,53
Potatoes,Grocery/Staple,2022,51,116,0,172.07,206.48,53,72,56.2,0.29,57
Potatoes,Grocery/Staple,2022,52,109,0,172.77,207.32,57,48,52.5,0.29,51
Potatoes,Grocery/Staple,2023,1,102,0,175.67,210.8,51,52,53.2,0.29,54
Potatoes,Grocery/Staple,2023,2,95,0,178.87,214.64,54,53,53.8,0.29,65
Potatoes,Grocery/Staple,2023,3,88,0,180.91,217.09,65,57,56.8,0.29,57
Potatoes,Grocery/Staple,2023,4,81,0,182.32,218.78,57,51,56.8,0.29,58
Potatoes,Grocery/Staple,2023,5,74,0,186.03,223.24,58,54,58.5,0.29,64
Potatoes,Grocery/Staple,2023,6,67,0,187.25,224.7,64,65,61,0.29,50
Potatoes,Grocery/Staple,2023,7,60,0,189.03,226.84,50,57,57.2,0.29,81
Potatoes,Grocery/Staple,2023,8,53,0,190.05,228.06,81,58,63.2,0.29,48
Potatoes,Grocery/Staple,2023,9,46,0,194.17,233.0,48,64,60.8,0.29,43
Potatoes,Grocery/Staple,2023,10,39,0,192.27,230.72,43,50,55.5,0.29,55
Potatoes,Grocery/Staple,2023,11,32,0,191.5,229.8,55,81,56.8,0.29,60
Potatoes,Grocery/Staple,2023,12,25,0,188.85,226.62,60,48,51.5,0.29,52
Potatoes,Grocery/Staple,2023,13,18,1,189.83,227.8,52,43,52.5,0.29,58
Potatoes,Grocery/Staple,2023,14,11,1,195.07,234.08,58,55,56.2,0.29,62
Potatoes,Grocery/Staple,2023,15,4,1,194.07,232.88,62,60,58,0.29,120
Potatoes,Grocery/Staple,2023,16,363,0,188.57,226.28,120,52,73,0.29,62
Potatoes,Grocery/Staple,2023,17,356,0,187.48,224.98,62,58,75.5,0.29,52
Potatoes,Grocery/Staple,2023,18,349,0,187.26,224.71,52,62,74,0.29,74
Potatoes,Grocery/Staple,2023,19,342,0,187.07,224.48,74,120,77,0.29,46
Potatoes,Grocery/Staple,2023,20,335,0,187.1,224.52,46,62,58.5,0.29,68
Potatoes,Grocery/Staple,2023,21,328,0,184.08,220.9,68,52,60,0.29,52
Potatoes,Grocery/Staple,2023,22,321,0,184.77,221.72,52,74,60,0.29,58
Potatoes,Grocery/Staple,2023,23,314,0,184.38,221.26,58,46,56,0.29,48
Potatoes,Grocery/Staple,2023,24,307,0,185.68,222.82,48,68,56.5,0.29,52
Potatoes,Grocery/Staple,2023,25,300,0,182.72,219.26,52,52,52.5,0.29,56
Potatoes,Grocery/Staple,2023,26,293,0,185.62,222.74,56,58,53.5,0.29,45
Potatoes,Grocery/Staple,2023,27,286,0,184.38,221.26,45,48,50.2,0.29,67
Potatoes,Grocery/Staple,2023,28,279,0,181.83,218.2,67,52,55,0.29,57
Potatoes,Grocery/Staple,2023,29,272,0,181.76,218.11,57,56,56.2,0.29,53
Potatoes,Grocery/Staple,2023,30,265,0,181.75,218.1,53,45,55.5,0.29,56
Potatoes,Grocery/Staple,2023,31,258,0,180.03,216.04,56,67,58.2,0.29,61
Potatoes,Grocery/Staple,2023,32,251,0,180.17,216.2,61,57,56.8,0.29,37
Potatoes,Grocery/Staple,2023,33,244,0,180.38,216.46,37,53,51.8,0.29,70
Potatoes,Grocery/Staple,2023,34,237,0,181.57,217.88,70,56,56,0.29,62
Potatoes,Grocery/Staple,2023,35,230,0,178.31,213.97,62,61,57.5,0.29,58
Potatoes,Grocery/Staple,2023,36,223,0,178.97,214.76,58,37,56.8,0.29,59
Potatoes,Grocery/Staple,2023,37,216,0,178.35,214.02,59,70,62.2,0.29,61
Potatoes,Grocery/Staple,2023,38,209,0,176.27,211.52,61,62,60,0.29,58
Potatoes,Grocery/Staple,2023,39,202,0,176.45,211.74,58,58,59,0.29,58
Potatoes,Grocery/Staple,2023,40,195,0,175.13,210.16,58,59,59,0.29,59
Potatoes,Grocery/Staple,2023,41,188,0,175.2,210.24,59,61,59,0.29,45
Potatoes,Grocery/Staple,2023,42,181,0,174.12,208.94,45,58,55,0.29,65
Potatoes,Grocery/Staple,2023,43,174,0,174.42,209.3,65,58,56.8,0.29,55
Potatoes,Grocery/Staple,2023,44,167,0,173.08,207.7,55,59,56,0.29,69
Potatoes,Grocery/Staple,2023,45,160,0,173.14,207.77,69,45,58.5,0.29,51
Potatoes,Grocery/Staple,2023,46,153,0,172.04,206.45,51,65,60,0.29,55
Potatoes,Grocery/Staple,2023,47,146,0,171.59,205.91,55,55,57.5,0.29,65
Potatoes,Grocery/Staple,2023,48,139,0,170.4,204.48,65,69,60,0.29,59
Potatoes,Grocery/Staple,2023,49,132,0,170.68,204.82,59,51,57.5,0.29,45
Potatoes,Grocery/Staple,2023,50,125,0,170.91,205.09,45,55,56,0.29,79
Potatoes,Grocery/Staple,2023,51,118,0,169.04,202.85,79,65,62,0.29,59
Potatoes,Grocery/Staple,2023,52,111,0,169.19,203.03,59,59,60.5,0.29,71
Potatoes,Grocery/Staple,2024,1,104,0,169.45,203.34,71,45,63.5,0.29,59
Potatoes,Grocery/Staple,2024,2,97,0,168.8,202.56,59,79,67,0.29,61
Potatoes,Grocery/Staple,2024,3,90,0,168.34,202.01,61,59,62.5,0.29,49
Potatoes,Grocery/Staple,2024,4,83,0,168.77,202.52,49,71,60,0.29,64
Potatoes,Grocery/Staple,2024,5,76,0,167.01,200.41,64,59,58.2,0.29,66
Potatoes,Grocery/Staple,2024,6,69,0,168.45,202.14,66,61,60,0.29,54
Potatoes,Grocery/Staple,2024,7,62,0,168.13,201.76,54,49,58.2,0.29,90
Potatoes,Grocery/Staple,2024,8,55,0,168.92,202.7,90,64,68.5,0.29,58
Potatoes,Grocery/Staple,2024,9,48,0,167.09,200.51,58,66,67,0.29,45
Potatoes,Grocery/Staple,2024,10,41,0,167.05,200.46,45,54,61.8,0.29,70
Potatoes,Grocery/Staple,2024,11,34,0,166.56,199.87,70,90,65.8,0.29,70
Potatoes,Grocery/Staple,2024,12,27,0,167.49,200.99,70,58,60.8,0.29,55
Potatoes,Grocery/Staple,2024,13,20,1,166.91,200.29,55,45,60,0.29,54
Potatoes,Grocery/Staple,2024,14,13,1,171.29,205.55,54,70,62.2,0.29,102
Potatoes,Grocery/Staple,2024,15,6,1,173.64,208.37,102,70,70.2,0.29,120
Potatoes,Grocery/Staple,2024,16,364,0,166.95,200.34,120,55,82.8,0.29,47
Potatoes,Grocery/Staple,2024,17,357,0,167.69,201.23,47,54,80.8,0.29,62
Potatoes,Grocery/Staple,2024,18,350,0,168.92,202.7,62,102,82.8,0.29,56
Potatoes,Grocery/Staple,2024,19,343,0,167.25,200.7,56,120,71.2,0.29,57
Potatoes,Grocery/Staple,2024,20,336,0,167.17,200.6,57,47,55.5,0.29,90
Potatoes,Grocery/Staple,2024,21,329,0,164.97,197.96,90,62,66.2,0.29,56
Potatoes,Grocery/Staple,2024,22,322,0,168.02,201.62,56,56,64.8,0.29,59
Potatoes,Grocery/Staple,2024,23,315,0,166.94,200.33,59,57,65.5,0.29,45
Potatoes,Grocery/Staple,2024,24,308,0,166.59,199.91,45,90,62.5,0.29,54
Potatoes,Grocery/Staple,2024,25,301,0,165.28,198.34,54,56,53.5,0.29,46
Potatoes,Grocery/Staple,2024,26,294,0,168.01,201.61,46,59,51,0.29,79
Potatoes,Grocery/Staple,2024,27,287,0,167.48,200.98,79,45,56,0.29,62
Potatoes,Grocery/Staple,2024,28,280,0,167.85,201.42,62,54,60.2,0.29,57
Potatoes,Grocery/Staple,2024,29,273,0,166.27,199.52,57,46,61,0.29,79
Potatoes,Grocery/Staple,2024,30,266,0,166.66,199.99,79,79,69.2,0.29,88
Potatoes,Grocery/Staple,2024,31,259,0,166.8,200.16,88,62,71.5,0.29,55
Potatoes,Grocery/Staple,2024,32,252,0,170.72,204.86,55,57,69.8,0.29,48
Potatoes,Grocery/Staple,2024,33,245,0,166.59,199.91,48,79,67.5,0.29,61
Potatoes,Grocery/Staple,2024,34,238,0,168.32,201.98,61,88,63,0.29,69
Potatoes,Grocery/Staple,2024,35,231,0,166.77,200.12,69,55,58.2,0.29,51
Potatoes,Grocery/Staple,2024,36,224,0,169.64,203.57,51,48,57.2,0.29,59
Potatoes,Grocery/Staple,2024,37,217,0,168.86,202.63,59,61,60,0.29,59
Potatoes,Grocery/Staple,2024,38,210,0,168.32,201.98,59,69,59.5,0.29,83
Potatoes,Grocery/Staple,2024,39,203,0,170.15,204.18,83,51,63,0.29,65
Potatoes,Grocery/Staple,2024,40,196,0,168.95,202.74,65,59,66.5,0.29,61
Potatoes,Grocery/Staple,2024,41,189,0,169.26,203.11,61,59,67,0.29,67
Potatoes,Grocery/Staple,2024,42,182,0,168.93,202.72,67,83,69,0.29,53
Potatoes,Grocery/Staple,2024,43,175,0,171.76,206.11,53,65,61.5,0.29,83
Potatoes,Grocery/Staple,2024,44,168,0,168.0,201.6,83,61,66,0.29,64
Potatoes,Grocery/Staple,2024,45,161,0,171.0,205.2,64,67,66.8,0.29,70
Potatoes,Grocery/Staple,2024,46,154,0,171.81,206.17,70,53,67.5,0.29,53
Potatoes,Grocery/Staple,2024,47,147,0,167.87,201.44,53,83,67.5,0.29,66
Potatoes,Grocery/Staple,2024,48,140,0,168.74,202.49,66,64,63.2,0.29,66
Potatoes,Grocery/Staple,2024,49,133,0,169.3,203.16,66,70,63.8,0.29,54
Potatoes,Grocery/Staple,2024,50,126,0,170.86,205.03,54,53,59.8,0.29,59
Potatoes,Grocery/Staple,2024,51,119,0,167.9,201.48,59,66,61.2,0.29,61
Potatoes,Grocery/Staple,2024,52,112,0,170.81,204.97,61,66,60,0.29,55
Potatoes,Grocery/Staple,2025,1,105,0,169.18,203.02,55,54,57.2,0.29,54
Potatoes,Grocery/Staple,2025,2,98,0,172.27,206.72,54,59,57.2,0.29,60
Potatoes,Grocery/Staple,2025,3,91,0,171.29,205.55,60,61,57.5,0.29,60
Potatoes,Grocery/Staple,2025,4,84,0,171.47,205.76,60,55,57.2,0.29,82
Potatoes,Grocery/Staple,2025,5,77,0,169.8,203.76,82,54,64,0.29,57
Potatoes,Grocery/Staple,2025,6,70,0,169.82,203.78,57,60,64.8,0.29,58
Potatoes,Grocery/Staple,2025,7,63,0,170.25,204.3,58,60,64.2,0.29,67
Potatoes,Grocery/Staple,2025,8,56,0,171.18,205.42,67,82,66,0.29,49
Potatoes,Grocery/Staple,2025,9,49,0,170.49,204.59,49,57,57.8,0.29,59
Potatoes,Grocery/Staple,2025,10,42,0,170.41,204.49,59,58,58.2,0.29,78
Potatoes,Grocery/Staple,2025,11,35,0,169.54,203.45,78,67,63.2,0.29,85
Potatoes,Grocery/Staple,2025,12,28,0,171.83,206.2,85,49,67.8,0.29,77
Potatoes,Grocery/Staple,2025,13,21,1,170.57,204.68,77,59,74.8,0.29,74
Potatoes,Grocery/Staple,2025,14,14,1,172.1,206.52,74,78,78.5,0.29,100
Potatoes,Grocery/Staple,2025,15,7,1,176.4,211.68,100,85,84,0.29,120
Potatoes,Grocery/Staple,2025,16,0,1,171.66,205.99,120,77,92.8,0.29,75
Potatoes,Grocery/Staple,2025,17,358,0,168.91,202.69,75,74,92.2,0.29,73
Potatoes,Grocery/Staple,2025,18,351,0,170.59,204.71,73,100,92,0.29,63
Potatoes,Grocery/Staple,2025,19,344,0,170.58,204.7,63,120,82.8,0.29,59
Potatoes,Grocery/Staple,2025,20,337,0,169.5,203.4,59,75,67.5,0.29,61
Potatoes,Grocery/Staple,2025,21,330,0,170.9,205.08,61,73,64,0.29,47
Potatoes,Grocery/Staple,2025,22,323,0,171.51,205.81,47,63,57.5,0.29,60
Potatoes,Grocery/Staple,2025,23,316,0,171.45,205.74,60,59,56.8,0.29,51
Potatoes,Grocery/Staple,2025,24,309,0,171.35,205.62,51,61,54.8,0.29,65
Potatoes,Grocery/Staple,2025,25,302,0,171.2,205.44,65,47,55.8,0.29,83
Potatoes,Grocery/Staple,2025,26,295,0,173.71,208.45,83,60,64.8,0.29,53
Potatoes,Grocery/Staple,2025,27,288,0,171.92,206.3,53,51,63,0.29,68
Potatoes,Grocery/Staple,2025,28,281,0,170.67,204.8,68,65,67.2,0.29,76
Potatoes,Grocery/Staple,2025,29,274,0,171.45,205.74,76,83,70,0.29,58
Potatoes,Grocery/Staple,2025,30,267,0,169.54,203.45,58,53,63.8,0.29,76
Potatoes,Grocery/Staple,2025,31,260,0,172.3,206.76,76,68,69.5,0.29,65
Potatoes,Grocery/Staple,2025,32,253,0,171.76,206.11,65,76,68.8,0.29,65
Potatoes,Grocery/Staple,2025,33,246,0,169.64,203.57,65,58,66,0.29,53
Potatoes,Grocery/Staple,2025,34,239,0,172.05,206.46,53,76,64.8,0.29,67
Potatoes,Grocery/Staple,2025,35,232,0,171.11,205.33,67,65,62.5,0.29,68
Potatoes,Grocery/Staple,2025,36,225,0,171.59,205.91,68,65,63.2,0.29,87
Potatoes,Grocery/Staple,2025,37,218,0,168.56,202.27,87,53,68.8,0.29,52
Potatoes,Grocery/Staple,2025,38,211,0,169.24,203.09,52,67,68.5,0.29,81
Potatoes,Grocery/Staple,2025,39,204,0,170.89,205.07,81,68,72,0.29,39
Potatoes,Grocery/Staple,2025,40,197,0,170.42,204.5,39,87,64.8,0.29,59
Potatoes,Grocery/Staple,2025,41,190,0,172.09,206.51,59,52,57.8,0.29,61
Potatoes,Grocery/Staple,2025,42,183,0,170.75,204.9,61,81,60,0.29,78
Potatoes,Grocery/Staple,2025,43,176,0,171.88,206.26,78,39,59.2,0.29,61
Potatoes,Grocery/Staple,2025,44,169,0,171.28,205.54,61,59,64.8,0.29,74
Potatoes,Grocery/Staple,2025,45,162,0,171.32,205.58,74,61,68.5,0.29,68
Potatoes,Grocery/Staple,2025,46,155,0,170.72,204.86,68,78,70.2,0.29,52
Potatoes,Grocery/Staple,2025,47,148,0,174.3,209.16,52,61,63.8,0.29,80
Potatoes,Grocery/Staple,2025,48,141,0,173.22,207.86,80,74,68.5,0.29,84
Potatoes,Grocery/Staple,2025,49,134,0,170.94,205.13,84,68,71,0.29,61
Potatoes,Grocery/Staple,2025,50,127,0,171.26,205.51,61,52,69.2,0.29,57
Potatoes,Grocery/Staple,2025,51,120,0,170.94,205.13,57,80,70.5,0.29,63
Potatoes,Grocery/Staple,2025,52,113,0,171.87,206.24,63,84,66.2,0.29,63
Potatoes,Grocery/Staple,2026,1,106,0,172.84,207.41,63,61,61,0.29,57
Potatoes,Grocery/Staple,2026,2,99,0,173.9,208.68,57,57,60,0.29,59
Potatoes,Grocery/Staple,2026,3,92,0,173.62,208.34,59,63,60.5,0.29,61
Potatoes,Grocery/Staple,2026,4,85,0,170.17,204.2,61,63,60,0.29,78
Potatoes,Grocery/Staple,2026,5,78,0,172.42,206.9,78,57,63.8,0.29,66
Potatoes,Grocery/Staple,2026,6,71,0,173.56,208.27,66,59,66,0.29,71
Potatoes,Grocery/Staple,2026,7,64,0,172.01,206.41,71,61,69,0.29,62
Potatoes,Grocery/Staple,2026,8,57,0,171.84,206.21,62,78,69.2,0.29,58
Potatoes,Grocery/Staple,2026,9,50,0,170.95,205.14,58,66,64.2,0.29,61
Potatoes,Grocery/Staple,2026,10,43,0,170.73,204.88,61,71,63,0.29,59
Potatoes,Grocery/Staple,2026,11,36,0,171.45,205.74,59,62,60,0.29,57
Potatoes,Grocery/Staple,2026,12,29,0,170.91,205.09,57,58,58.8,0.29,63
Potatoes,Grocery/Staple,2026,13,22,0,171.66,205.99,63,61,60,0.29,73
Potatoes,Grocery/Staple,2026,14,15,1,171.14,205.37,73,59,63,0.29,47
Potatoes,Grocery/Staple,2026,15,8,1,178.62,214.34,47,57,60,0.29,120
Potatoes,Grocery/Staple,2026,16,1,1,174.22,209.06,120,63,75.8,0.29,118
Potatoes,Grocery/Staple,2026,17,359,0,173.94,208.73,118,73,89.5,0.29,89
Potatoes,Grocery/Staple,2026,18,352,0,171.72,206.06,89,47,93.5,0.29,68
Potatoes,Grocery/Staple,2026,19,345,0,170.69,204.83,68,120,98.8,0.29,74
Potatoes,Grocery/Staple,2026,20,338,0,172.91,207.49,74,118,87.2,0.29,68
Potatoes,Grocery/Staple,2026,21,331,0,172.44,206.93,68,89,74.8,0.29,52
Potatoes,Grocery/Staple,2026,22,324,0,171.7,206.04,52,68,65.5,0.29,89
Potatoes,Grocery/Staple,2026,23,317,0,171.47,205.76,89,74,70.8,0.29,59
Potatoes,Grocery/Staple,2026,24,310,0,168.04,201.65,59,68,67,0.0,17
Dried Chillies,Grocery/Staple,2022,24,305,0,555.34,666.41,19,19,19,0.29,19
Dried Chillies,Grocery/Staple,2022,25,298,0,577.49,692.99,19,29,19,0.29,29
Dried Chillies,Grocery/Staple,2022,26,291,0,581.45,697.74,29,32,24,0.29,32
Dried Chillies,Grocery/Staple,2022,27,284,0,597.65,717.18,32,30,26.7,0.29,30
Dried Chillies,Grocery/Staple,2022,28,277,0,614.77,737.72,30,19,27.5,0.29,32
Dried Chillies,Grocery/Staple,2022,29,270,0,624.04,748.85,32,29,30.8,0.29,28
Dried Chillies,Grocery/Staple,2022,30,263,0,647.19,776.63,28,32,30.5,0.29,29
Dried Chillies,Grocery/Staple,2022,31,256,0,661.18,793.42,29,30,29.8,0.29,20
Dried Chillies,Grocery/Staple,2022,32,249,0,677.84,813.41,20,32,27.2,0.29,27
Dried Chillies,Grocery/Staple,2022,33,242,0,684.98,821.98,27,28,26,0.29,45
Dried Chillies,Grocery/Staple,2022,34,235,0,712.25,854.7,45,29,30.2,0.29,24
Dried Chillies,Grocery/Staple,2022,35,228,0,721.46,865.75,24,20,29,0.29,21
Dried Chillies,Grocery/Staple,2022,36,221,0,728.33,874.0,21,27,29.2,0.29,43
Dried Chillies,Grocery/Staple,2022,37,214,0,741.52,889.82,43,45,33.2,0.29,25
Dried Chillies,Grocery/Staple,2022,38,207,0,747.51,897.01,25,24,28.2,0.29,32
Dried Chillies,Grocery/Staple,2022,39,200,0,764.68,917.62,32,21,30.2,0.29,25
Dried Chillies,Grocery/Staple,2022,40,193,0,781.8,938.16,25,43,31.2,0.29,30
Dried Chillies,Grocery/Staple,2022,41,186,0,793.05,951.66,30,25,28,0.29,17
Dried Chillies,Grocery/Staple,2022,42,179,0,793.83,952.6,17,32,26,0.29,38
Dried Chillies,Grocery/Staple,2022,43,172,0,814.09,976.91,38,25,27.5,0.29,26
Dried Chillies,Grocery/Staple,2022,44,165,0,824.53,989.44,26,30,27.8,0.29,41
